Model,Context Window,Creator,Intelligence Index,TPS,Speed(median token/s),Latency,Provider_Group,Sequence_Step
GPT-5.2 (xhigh),400k,OpenAI,51,4.81,100,44.29,GPT-5.2,0
Claude Opus 4.5,200k,Anthropic,49,10.0,79,1.7,Claude,100
Gemini 3 Pro Preview (high),1m,Google,48,4.5,128,32.19,Gemini,200
GPT-5.1 (high),400k,OpenAI,47,3.44,127,26.5,GPT-5.1,300
Gemini 3 Flash,1m,Google,46,1.13,224,11.62,Gemini,400
GPT-5.2 (medium),400k,OpenAI,45,4.81,0,0.0,GPT-5.2,500
Claude Opus 4.5,200k,Anthropic,43,10.0,72,1.96,Claude,600
Claude 4.5 Sonnet,1m,Anthropic,42,6.0,80,1.6,Claude,700
GLM-4.7,200k,Z AI,42,0.94,78,0.61,GLM-4.7,800
GPT-5.1 Codex (high),400k,OpenAI,42,3.44,190,17.8,GPT-5.1,900
Grok 4,256k,xAI,41,6.0,36,6.34,Grok,1000
DeepSeek V3.2,128k,DeepSeek,41,0.32,31,1.41,DeepSeek,1100
o3,200k,OpenAI,"41
E",3.5,264,12.44,o3,1200
GPT-5 mini (high),400k,OpenAI,41,0.69,72,113.01,GPT-5,1300
Gemini 3 Pro Preview (low),1m,Google,41,4.5,133,4.04,Gemini,1400
Kimi K2 Thinking,256k,Kimi,40,1.07,84,0.62,Kimi,1500
MiniMax-M2.1,205k,MiniMax,39,0.53,71,1.79,MiniMax-M2.1,1600
MiMo-V2-Flash,256k,Xiaomi,39,0.15,112,1.67,MiMo-V2-Flash,1700
Grok 4.1 Fast,2m,xAI,38,0.28,150,6.15,Grok,1800
GPT-5.1 Codex mini (high),400k,OpenAI,38,0.69,174,8.53,GPT-5.1,1900
Claude 4.5 Sonnet,1m,Anthropic,37,6.0,72,1.51,Claude,2000
Claude 4.5 Haiku,200k,Anthropic,37,2.0,116,0.46,Claude,2100
KAT-Coder-Pro V1,256k,KwaiKAT,36,0.0,62,1.09,KAT-Coder-Pro,2200
MiniMax-M2,205k,MiniMax,36,0.53,108,1.28,MiniMax-M2,2300
Nova 2.0 Pro Preview (medium),256k,Amazon,35,3.44,133,21.03,Nova,2400
Gemini 3 Flash,1m,Google,35,1.13,196,0.74,Gemini,2500
Grok 4 Fast,2m,xAI,35,0.28,179,4.11,Grok,2600
Gemini 2.5 Pro,1m,Google,34,3.44,160,32.99,Gemini,2700
DeepSeek V3.2 Speciale,128k,DeepSeek,"34
E",0.42,0,0.0,DeepSeek,2800
GLM-4.7,200k,Z AI,34,0.94,75,0.64,GLM-4.7,2900
DeepSeek V3.1 Terminus,128k,DeepSeek,33,0.8,0,0.0,DeepSeek,3000
Doubao Seed Code,256k,ByteDance Seed,33,0.41,0,0.0,Doubao,3100
GPT-5.2,400k,OpenAI,33,4.81,74,0.53,GPT-5.2,3200
gpt-oss-120B (high),131k,OpenAI,33,0.26,366,0.41,gpt-oss-120B,3300
Qwen3 Max Thinking,262k,Alibaba,32,2.4,35,1.74,Qwen3,3400
Grok 3 mini Reasoning (high),1m,xAI,32,0.35,192,0.7,Grok,3500
Nova 2.0 Pro Preview (low),256k,Amazon,32,3.44,134,12.47,Nova,3600
K-EXAONE,256k,LG AI Research,32,0.0,114,0.31,K-EXAONE,3700
DeepSeek V3.2,128k,DeepSeek,32,0.32,30,1.24,DeepSeek,3800
Qwen3 Max,262k,Alibaba,31,2.4,26,1.85,Qwen3,3900
Claude 4.5 Haiku,200k,Anthropic,30,2.0,106,0.42,Claude,4000
MiMo-V2-Flash,256k,Xiaomi,30,0.15,90,1.74,MiMo-V2-Flash,4100
Nova 2.0 Lite (medium),1m,Amazon,30,0.85,254,15.06,Nova,4200
Qwen3 235B A22B 2507,256k,Alibaba,29,2.63,83,1.22,Qwen3,4300
ERNIE 5.0 Thinking Preview,128k,Baidu,29,1.47,0,0.0,ERNIE,4400
Qwen3 VL 32B,256k,Alibaba,"29
E",2.63,48,1.07,Qwen3,4500
DeepSeek V3.1 Terminus,128k,DeepSeek,28,0.8,0,0.0,DeepSeek,4600
Nova 2.0 Omni (medium),1m,Amazon,28,0.85,0,0.0,Nova,4700
Kimi K2 0905,256k,Kimi,28,1.2,52,0.57,Kimi,4800
